PartcipantID:Please
block;trial;answer;correct;timeSpent;randomYes(1=Left:No/Right:Yes);instanceNumber;error;PartcipantID
1;1;2;0;1;1;5;;Please
1;2;2;0;1;0;2;;Please
1;3;2;0;1;0;9;;Please
1;4;2;0;1;1;10;;Please
1;5;2;0;1;0;6;;Please
1;6;2;0;1;1;12;;Please
2;1;2;0;1;1;14;;Please
2;2;2;0;1;1;3;;Please
2;3;2;0;1;0;1;;Please
2;4;2;0;1;0;15;;Please
2;5;2;0;1;0;8;;Please
2;6;2;0;1;1;13;;Please
3;1;2;0;1;0;4;;Please
3;2;2;0;1;1;18;;Please
3;3;2;0;1;0;7;;Please
3;4;2;0;1;1;16;;Please
3;5;2;0;1;1;17;;Please
3;6;2;0;1;0;11;;Please
