PartcipantID:dfv
InitialTimeStamp:00-31-52-909
block;trial;eventType;elapsedTime
1;1;Trial;79
1;1;ParticipantSkip;799
1;1;TrialAnswer;833
1;1;ParticipantAnswer;1004
1;1;InterTrialRest;1032
1;2;Trial;4147
1;2;ParticipantSkip;4298
1;2;TrialAnswer;4332
1;2;ParticipantAnswer;4411
1;2;InterTrialRest;4440
1;3;Trial;7548
1;3;ParticipantSkip;7670
1;3;TrialAnswer;7703
1;3;ParticipantAnswer;7789
1;3;InterTrialRest;7818
1;4;Trial;10928
1;4;ParticipantSkip;11015
1;4;TrialAnswer;11048
1;4;ParticipantAnswer;11132
1;4;InterTrialRest;11162
1;5;Trial;14274
1;5;ParticipantSkip;14506
1;5;TrialAnswer;14539
1;5;ParticipantAnswer;14757
1;5;InterTrialRest;14785
1;6;Trial;17942
1;6;ParticipantSkip;18040
1;6;TrialAnswer;18077
1;6;ParticipantAnswer;18215
1;6;InterTrialRest;18243
