PartcipantID:hhh
InitialTimeStamp:19-29-48-750
block;trial;clicknumber;Variable;Literal;state;time
1;1;1;2;1;1;0.9064102
1;1;2;2;1;0;2.579048
1;1;3;4;0;1;3.430092
1;1;4;4;0;0;4.130013
1;1;5;4;0;1;4.634239
1;1;6;2;1;1;5.268158
1;1;7;2;1;0;5.8908
1;1;8;2;1;1;6.458771
1;1;9;2;1;0;7.006287
1;1;10;2;1;1;7.558434
1;1;11;2;1;0;12.47492
1;1;12;2;1;1;13.03843
1;1;13;2;1;0;14.42659
1;1;14;2;1;1;15.33091
1;1;15;2;1;0;16.76659
1;1;16;2;1;1;17.871
1;1;17;1;1;1;19.19099
1;1;18;1;1;0;20.54232
1;1;19;1;1;1;21.17803
1;1;20;1;1;0;21.91497
1;1;21;1;1;1;22.4669
1;1;22;1;1;0;24.42327
1;1;23;1;1;1;25.2905
1;1;24;1;1;0;26.45828
1;1;25;1;1;1;27.37891
1;1;26;2;1;0;29.30294
1;1;27;2;1;1;30.13425
1;1;28;2;1;0;30.93869
1;1;29;2;1;1;31.55885
1;1;30;2;1;0;32.39485
1;1;31;4;0;0;33.32645
1;1;32;4;0;1;33.99482
1;1;33;4;0;0;35.35055
1;1;34;4;0;1;35.85059
1;1;35;3;0;1;36.9387
1;1;36;3;0;0;37.53848
1;1;37;3;0;1;38.13809
1;1;38;3;0;0;40.5469
1;1;39;3;0;1;41.1987
1;1;40;3;0;0;44.44287
1;1;41;3;0;1;44.95908
1;1;42;3;0;0;45.74247
1;1;43;3;0;1;46.2467
1;1;44;3;0;0;46.81477
1;1;45;3;0;1;49.11874
1;1;46;3;0;0;57.65862
1;1;47;3;0;1;63.30661
1;1;48;3;0;0;66.41441
1;1;49;2;0;1;73.83507
