PartcipantID:jj\
instanceNumber;v;l;id;type;sol
1;1,3,4,2,3,4,1,3,4,1,3,4,1,3,4,1,2,3,1,3,4,1,3,4,1,3,4,2,3,4,1,2,3,1,2,4;0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1;;3.0;1
2;2,3,4,1,2,3,1,3,4,1,3,4,1,2,4,1,2,3,1,3,4,1,2,4,1,2,3,2,3,4,2,3,4,1,2,4;1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1;;3.0;1
3;1,3,4,2,3,4,1,2,3,2,3,4,1,2,3,1,2,4,2,3,4,1,3,4,2,3,4,2,3,4,1,2,4,1,3,4;0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1;;3.0;1
4;1,2,3,1,2,4,1,2,3,1,2,4,1,2,3,1,2,3,1,2,3,1,3,4,1,2,3,1,3,4,2,3,4,1,3,4,1,3,4,1,2,4;0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1;;3.5;1
5;1,2,4,1,2,3,1,3,4,1,2,4,1,2,3,1,2,3,1,3,4,1,2,4,1,2,3,2,3,4,1,3,4,1,3,4,2,3,4,1,2,4;1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1;;3.5;1
6;1,2,4,2,3,4,2,3,4,1,2,3,1,2,3,1,2,4,1,3,4,1,2,4,1,2,3,1,2,3,1,3,4,1,3,4,1,2,4,1,3,4;1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1;;3.5;1
7;1,2,3,1,2,3,1,3,4,1,2,3,1,2,4,1,2,4,1,2,4,2,3,4,1,3,4,1,3,4,2,3,4,1,2,3,2,3,4,2,3,4,2,3,4,1,3,4;0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0;;4.0;1
8;1,2,4,2,3,4,1,2,3,1,3,4,1,3,4,1,2,4,1,2,3,1,2,4,1,3,4,1,2,3,1,3,4,1,3,4,2,3,4,2,3,4,1,2,4,1,2,4;1,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1;;4.0;0
9;2,3,4,1,2,3,2,3,4,1,2,3,1,2,3,1,2,3,1,2,4,1,3,4,1,3,4,1,2,4,1,2,3,2,3,4,1,3,4,1,3,4,1,3,4,1,2,4;1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1;;4.0;1
10;1,2,4,1,2,4,1,2,4,1,3,4,1,2,3,1,2,3,1,2,3,1,3,4,2,3,4,1,2,4,1,2,3,1,3,4,1,3,4,2,3,4,2,3,4,1,3,4,1,3,4,2,3,4;1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0;;4.5;0
